Category,Quantity,References,Value,LCSC Part #,Footprint
Capacitors,4,"C1,C6,C7,C8",100nF,C307331,RESC1005X55N
Capacitors,2,"C2,C12",1uF,C28323,CAPC2012X140N
Capacitors,2,"C3,C4",12pF,C1547,CAPC1005X55N
Capacitors,1,C5,10nF,C15195,CAPC1005X55N
Capacitors,3,"C9,C10,C11",4.7uF,C1779,CAPC2012X140N
Resistors,2,"R3,R4",0603WAF5101T5E,C23186,RESC1608X55N
Resistors,1,R5,0603WAF1002T5E,C25804,RESC1608X55N
Integrated Circuits,1,U1,STM32F072C8T6,C80488,QFP50P900X900X160-48N
Integrated Circuits,1,U3,XC6206P332MR-G,C2891264,SOT95P280X130-3N
Integrated Circuits,1,U5,X322532MOB4SI,C9009,X322512MSB4SI
Miscellaneous,2,"DFU_SW,RST_SW",TS-1187A-B-A-B,C318884,TS1187ABAB
Miscellaneous,1,J9,TYPEC31M12,C165948,HRO_TYPEC31M12
